step,V_train,C,K_est,acc_train,acc_test,sigma_mean,crisis
11400,1.992946039308663e-07,18040.73046875,0.003595420233393043,1.0,0.00017711654072627425,0.0,0.0
11500,1.8868202289468172e-07,18046.2890625,0.0034050103260546694,1.0,0.00017711654072627425,0.0,0.0
11600,1.7781601968636096e-07,18051.830078125,0.003209904572546718,1.0,0.00017711654072627425,0.0,0.0
11700,1.697694784752457e-07,18057.39453125,0.0030655944521920664,1.0,0.00017711654072627425,0.0,0.0
11800,1.60962613904303e-07,18062.9609375,0.0029074614073513194,1.0,0.00017711654072627425,0.0,0.0
11900,1.5288439669802756e-07,18068.6015625,0.0027624072490598506,1.0,0.00017711654072627425,0.0,0.0
12000,1.4689700833514507e-07,18074.357421875,0.002655069032853563,1.0,0.00017711654072627425,0.0,0.0
12100,1.4081457777592732e-07,18080.31640625,0.0025459721208012653,1.0,0.00017711654072627425,0.0,0.0
12200,1.3568252654749813e-07,18086.556640625,0.00245402970154443,1.0,0.00017711654072627425,0.0,0.0
12300,1.3184931901832897e-07,18093.146484375,0.0023855690428637166,1.0,0.0,0.0,0.0
12400,1.269390281777305e-07,18100.150390625,0.0022976155004567067,1.0,0.0,0.0,0.0
12500,1.2380277780721372e-07,18107.677734375,0.002241780803153459,1.0,0.0,0.0,0.0
12600,1.2164858276264567e-07,18115.806640625,0.0022037622034341564,1.0,0.0,0.0,0.0
12700,1.1753026996075278e-07,18124.66015625,0.002130196201110962,1.0,0.0,0.0,0.0
12800,1.1651653153421648e-07,18134.310546875,0.0021129469666862355,1.0,0.0,0.0,0.0
12900,1.1490088525079045e-07,18144.83984375,0.0020848581607806893,1.0,0.0,0.0,0.0
13000,1.1322187987161669e-07,18156.349609375,0.002055696034379731,1.0,0.0,0.0,0.0
13100,1.1144783940153502e-07,18168.98828125,0.002024894488057122,1.0,0.0,0.0,0.0
13200,1.1027570678834309e-07,18182.9375,0.002005136284300768,1.0,0.0,0.0,0.0
13300,1.1071921335314983e-07,18198.369140625,0.0020149091155602372,1.0,0.0,0.0,0.0
13400,1.0986387621869653e-07,18215.484375,0.0020012237206386008,1.0,0.0,0.0,0.0
13500,1.0866006050491706e-07,18234.548828125,0.001981367178943927,1.0,0.0,0.0,0.0
13600,1.100856295010999e-07,18255.85546875,0.002009707341358441,1.0,0.0,0.0,0.0
13700,1.1033906588409081e-07,18279.728515625,0.0020169681690288405,1.0,0.0,0.0,0.0
13800,1.092619683618068e-07,18306.560546875,0.0020002108392861567,1.0,0.0,0.0,0.0
13900,1.10370741879251e-07,18336.88671875,0.002023855790904222,1.0,0.0,0.0,0.0
